N,Triton (GB/s),Torch (GB/s),CUDA C++ (GB/s),Naive Softmax (GB/s)
256.000000,649.139080,625.788858,583.546483,225.390422
384.000000,828.821151,830.482740,710.380421,285.830591
512.000000,941.930492,946.225089,945.471841,337.313968
640.000000,1043.745951,1063.079147,974.389997,371.914316
768.000000,1140.248160,1148.069485,1023.102496,412.810721
896.000000,1195.155993,1206.479254,1026.861770,433.115925
1024.000000,1185.692152,1225.056644,1209.499141,458.621827
1152.000000,1176.292269,1099.818053,1114.757049,483.645243
1280.000000,1289.148902,1094.460074,1165.988406,492.554248
1408.000000,1306.088072,1197.477369,1149.306431,512.311942
1536.000000,1325.777940,1283.602540,1111.500995,518.570907
1664.000000,1363.586503,1258.479297,1186.307271,539.004176
1792.000000,1306.890481,1316.355553,1185.883865,549.741683
1920.000000,1427.914784,1285.362864,1170.312746,571.366546
2048.000000,1403.299206,1301.222440,1450.765668,570.911212
2176.000000,1412.354786,939.886903,1335.963841,588.291198
2304.000000,1407.019549,1014.312700,1303.648013,592.441896
2432.000000,1398.095474,996.820046,1319.039833,597.113825
2560.000000,1410.909127,1077.803857,1326.506953,601.763527
2688.000000,1419.824580,1091.897291,1311.162671,614.118017
2816.000000,1433.280599,1152.232064,1323.958153,612.636182
2944.000000,1450.032592,1200.083747,1306.483937,635.526979
3072.000000,1436.108448,1242.726057,1398.501292,620.627098
3200.000000,1455.434013,1214.283996,1355.515895,632.791398
3328.000000,1446.921971,1261.368201,1380.068602,631.017441
3456.000000,1437.357547,1263.460688,1349.423940,640.318445
3584.000000,1445.498569,1298.530038,1366.824582,633.217527
3712.000000,1441.417183,1331.719733,1378.092759,640.791961
3840.000000,1436.537700,1327.872221,1375.308135,638.512022
3968.000000,1483.789001,1349.116719,1372.868083,635.347592
4096.000000,1468.758957,1355.692229,1463.053869,639.833886
4224.000000,1442.611466,1388.440570,1413.881721,587.862294
4352.000000,1437.764075,1344.051595,1401.327337,563.501627
4480.000000,1432.104584,1361.692489,1406.772799,553.010274
4608.000000,1447.269614,1356.858086,1386.588855,544.537245
4736.000000,1434.059664,1401.239823,1398.914265,527.678402
4864.000000,1436.366868,1383.964907,1402.618039,509.990619
4992.000000,1450.845049,1387.615628,1364.712723,503.909484
5120.000000,1446.789996,1378.388410,1407.155863,480.629231
5248.000000,1446.826144,1399.427939,1394.680591,463.760315
5376.000000,1452.548800,1409.421458,1392.033061,466.816866
5504.000000,1444.266888,1398.758597,1391.663110,454.469614
5632.000000,1456.445860,1413.561429,1397.192421,444.949073
5760.000000,1456.592462,1386.474400,1404.714259,439.839313
5888.000000,1432.365352,1424.357084,1401.288909,442.797646
6016.000000,1464.992457,1411.630011,1403.792497,432.941193
6144.000000,1461.618566,1398.414981,1401.084288,428.194474
6272.000000,1451.325486,1402.064512,1409.122178,426.104112
6400.000000,1455.631575,1419.534756,1401.370380,425.365454
6528.000000,1443.034051,1407.573867,1407.786322,418.085220
6656.000000,1463.240134,1406.490712,1397.471052,417.873661
6784.000000,1456.980782,1402.921699,1404.541536,417.680850
6912.000000,1465.385160,1424.451685,1399.735957,415.369525
7040.000000,1473.412024,1418.797068,1406.452902,413.980401
7168.000000,1450.286472,1412.253319,1416.251981,410.109495
7296.000000,1469.855302,1412.001037,1406.957823,411.312133
7424.000000,1466.589253,1411.411207,1406.183516,409.277014
7552.000000,1459.051424,1402.266602,1413.850398,407.851873
7680.000000,1465.001143,1403.009301,1403.919482,406.860003
7808.000000,1466.204562,1415.828340,1408.231329,407.219802
7936.000000,1451.304080,1419.898636,1399.047035,405.754492
8064.000000,1479.069999,1423.174146,1406.381848,406.225034
8192.000000,1463.377808,1418.724712,1463.847206,372.893898
8320.000000,1444.916046,1430.054615,1419.425329,370.427485
8448.000000,1443.022916,1439.776464,1414.167362,369.304165
8576.000000,1441.316430,1420.788249,1412.958537,368.075469
8704.000000,1447.154664,1431.552888,1406.627866,368.531053
8832.000000,1442.220994,1425.010097,1407.554225,367.422151
8960.000000,1446.374325,1438.607166,1412.884499,366.735718
9088.000000,1462.192769,1429.198943,1407.140763,368.020037
9216.000000,1434.722298,1431.892952,1417.754390,364.586486
9344.000000,1457.185307,1410.659446,1415.227685,366.252780
9472.000000,1446.354529,1426.337490,1412.055674,364.874984
9600.000000,1444.518032,1414.412129,1414.005637,364.815071
9728.000000,1446.974800,1420.364125,1406.362608,364.607101
9856.000000,1443.021479,1407.791810,1411.878957,364.306639
9984.000000,1438.278943,1426.456732,1410.949570,363.278108
10112.000000,1455.158929,1424.421417,1414.566269,364.719480
10240.000000,1449.452679,1411.103350,1424.431300,361.980478
10368.000000,1451.485661,1418.796615,1425.767533,361.389054
10496.000000,1452.026190,1434.259748,1418.334442,361.820564
10624.000000,1439.965582,1421.910980,1418.714064,361.623374
10752.000000,1451.713583,1422.858349,1414.728181,360.446525
10880.000000,1453.008137,1424.804054,1420.636358,361.771120
11008.000000,1451.904414,1429.759276,1421.962952,361.177556
11136.000000,1457.981053,1433.250296,1409.166437,360.938574
11264.000000,1441.459296,1425.722781,1428.388537,358.981094
11392.000000,1450.721608,1427.128979,1418.632397,360.289303
11520.000000,1451.943741,1430.336428,1422.923168,352.870163
11648.000000,1447.224935,1416.986347,1420.301180,354.726641
11776.000000,1450.634554,1424.763451,1416.737519,357.072500
11904.000000,1453.601220,1435.217311,1416.984718,359.298246
12032.000000,1452.372211,1430.578519,1417.232877,357.116506
12160.000000,1455.204991,1435.460404,1418.662102,358.159725
12288.000000,1455.231641,1424.838723,1435.269693,357.608978
12416.000000,1454.189324,1430.926450,1432.040658,357.409363
12544.000000,1455.547392,1427.491105,1414.343649,355.951450
12672.000000,1450.672981,1423.988479,1404.678567,355.536722
